DAY,Section(DE),ROOM1,11,ROOM2,12,ROOM3,13,ROOM4,15,ROOM5,16,ROOM6,17
Monday,ML CS-1,B-201,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-2,X,X,X,X,B-201,ML(DE),X,X,X,X,X,X
Monday,ML CS-3,B-202,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-4,X,X,X,X,B-202,ML(DE),X,X,X,X,X,X
Monday,ML CS-5,B-203,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-6,X,X,X,X,B-203,ML(DE),X,X,X,X,X,X
Monday,ML CS-7,B-204,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-8,X,X,X,X,B-204,ML(DE),X,X,X,X,X,X
Monday,ML CS-9,B-205,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-10,A-LH-104,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-11,B-206,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-12,X,X,X,X,B-206,ML(DE),X,X,X,X,X,X
Monday,ML CS-13,B-301,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-14,X,X,X,X,B-301,ML(DE),X,X,X,X,X,X
Monday,ML CS-15,B-302,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-16,X,X,X,X,B-302,ML(DE),X,X,X,X,X,X
Monday,ML CS-17,B-303,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-18,X,X,X,X,B-303,ML(DE),X,X,X,X,X,X
Monday,ML CS-19,B-304,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-20,X,X,X,X,B-304,ML(DE),X,X,X,X,X,X
Monday,ML CS-21,B-305,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-22,X,X,X,X,B-305,ML(DE),X,X,X,X,X,X
Monday,ML CS-23,B-306,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-24,X,X,X,X,B-306,ML(DE),X,X,X,X,X,X
Monday,ML CS-25,B-401,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML CS-26,X,X,X,X,B-401,ML(DE),X,X,X,X,X,X
Monday,ML CS-27,B-402,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-1,X,X,X,X,B-402,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-2,B-403,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-3,X,X,X,X,B-403,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-4,B-404,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-5,X,X,X,X,B-404,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-6,B-405,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-7,X,X,X,X,B-406,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-8,B-406,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-9,X,X,X,X,A-LH-003,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-10,X,X,X,X,A-LH-004,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-11,A-LH-003,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,IOT CS-12,X,X,X,X,A-LH-005,IOT(DE),X,X,X,X,X,X
Monday,IOT CS-13,A-LH-004,IOT(DE),X,X,X,X,X,X,X,X,X,X
Monday,NLP CS-1,X,X,B-202,NLP(DE),X,X,X,X,X,X,X,X
Monday,NLP CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Monday,NLP CS-3,X,X,B-203,NLP(DE),X,X,X,X,X,X,X,X
Monday,NLP CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Monday,NLP CS-5,X,X,B-204,NLP(DE),X,X,X,X,X,X,X,X
Monday,NLP CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-1,X,X,B-205,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-3,X,X,B-206,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-5,X,X,B-301,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-7,X,X,B-302,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-8,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-9,X,X,B-303,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-10,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-11,X,X,B-304,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-12,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-13,X,X,B-305,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-14,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-15,X,X,B-306,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-16,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-17,X,X,B-401,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-18,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-19,X,X,B-402,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-20,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-21,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-22,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-23,X,X,B-403,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-24,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-25,X,X,B-404,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-26,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-27,X,X,B-405,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-28,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-29,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-30,X,X,B-406,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-31,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-32,X,X,A-LH-003,DA(DE),X,X,X,X,X,X,X,X
Monday,DA CS-33,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-34,X,X,A-LH-004,DA(DE),X,X,X,X,X,X,X,X
Monday,ML IT-1,X,X,X,X,A-LH-009,ML(DE),X,X,X,X,X,X
Monday,ML IT-2,A-LH-005,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML IT-3,X,X,X,X,A-LH-010,ML(DE),X,X,X,X,X,X
